v1,v2,v3,v4,v5,v6
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.45
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.44
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.47
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.46
PConcordia,KRI(pickup):(23):::1589321449.41,CHAIN,KRI(identifier):(vper):::1589321449.44!!KRI(identifier):(vper):::1589321449.44!!KRI(pickup):(23):::1589321449.41!!KRI(pickup):(22):::1589321449.39!!KRI(identifier):(v):::1589321449.38!!KRI(name):(employer-contacts):!!0,,1589321449.48
PConcordia,KRI(pickup):(33):::1589321449.59,CHAIN,KRI(pickup):(34):::1589321449.63!!KRI(pickup):(34):::1589321449.63!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,
PConcordia,KRI(pickup):(33):::1589321449.59,CHAIN,KRI(pickup):(34):::1589321449.63!!KRI(pickup):(34):::1589321449.63!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.68
PConcordia,KRI(pickup):(33):::1589321449.59,CHAIN,KRI(pickup):(34):::1589321449.63!!KRI(pickup):(34):::1589321449.63!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.67
PConcordia,KRI(pickup):(33):::1589321449.59,CHAIN,KRI(pickup):(34):::1589321449.63!!KRI(pickup):(34):::1589321449.63!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.66
PConcordia,KRI(pickup):(33):::1589321449.59,CHAIN,KRI(pickup):(34):::1589321449.63!!KRI(pickup):(34):::1589321449.63!!KRI(pickup):(33):::1589321449.59!!KRI(pickup):(32):::1589321449.56!!KRI(identifier):(Spqr):::1589321449.54!!KRI(pickup):(30):::1589321449.53!!KRI(name):(employer-contacts):!!0,,1589321449.65
